"Date","구장","원정팀","원정팀점수","홈팀점수","홈팀","원정팀결과","홈팀결과","비고"
"2016-04-21 18:30","사직","한화",9,5,"롯데","승","패","정규시즌"
"2016-04-21 18:30","수원","두산",3,8,"KT","패","승","정규시즌"
"2016-04-22 18:30","고척","LG",2,10,"넥센","패","승","정규시즌"
"2016-04-22 18:30","잠실","한화",2,8,"두산","패","승","정규시즌"
"2016-04-22 18:30","문학","NC",6,5,"SK","승","패","정규시즌"
"2016-04-22 18:30","대구","KT",13,3,"삼성","승","패","정규시즌"
"2016-04-22 18:30","사직","기아",5,7,"롯데","패","승","정규시즌"
"2016-04-23 17:00","고척","LG",2,14,"넥센","패","승","정규시즌"
"2016-04-23 17:00","잠실","한화",2,3,"두산","패","승","정규시즌"
"2016-04-23 17:00","문학","NC",2,8,"SK","패","승","정규시즌"
"2016-04-23 17:00","대구","KT",11,6,"삼성","승","패","정규시즌"
"2016-04-23 17:00","사직","기아",16,10,"롯데","승","패","정규시즌"
"2016-04-24 14:00","고척","LG",5,3,"넥센","승","패","정규시즌"
"2016-04-24 14:00","문학","NC",2,3,"SK","패","승","정규시즌"
"2016-04-24 14:00","대구","KT",0,6,"삼성","패","승","정규시즌"
"2016-04-24 14:00","사직","기아",11,4,"롯데","승","패","정규시즌"
"2016-04-24 17:00","잠실","한화",1,5,"두산","패","승","정규시즌"
"2016-04-26 18:30","잠실","SK",3,4,"두산","패","승","정규시즌"
"2016-04-26 18:30","대전","기아",2,4,"한화","패","승","정규시즌"
"2016-04-26 18:30","대구","LG",2,0,"삼성","승","패","정규시즌"
"2016-04-26 18:30","마산","넥센",3,4,"NC","패","승","정규시즌"
"2016-04-26 18:30","수원","롯데",1,2,"KT","패","승","정규시즌"
"2016-04-27 18:30","잠실","SK",3,1,"두산","승","패","정규시즌"
"2016-04-27 18:30","수원","롯데",4,0,"KT","승","패","정규시즌"
"2016-04-28 18:30","잠실","SK",1,4,"두산","패","승","정규시즌"
"2016-04-28 18:30","대전","기아",2,3,"한화","패","승","정규시즌"
"2016-04-28 18:30","대구","LG",7,9,"삼성","패","승","정규시즌"
"2016-04-28 18:30","마산","넥센",4,2,"NC","승","패","정규시즌"
"2016-04-28 18:30","수원","롯데",8,3,"KT","승","패","정규시즌"
"2016-04-29 18:30","고척","SK",4,3,"넥센","승","패","정규시즌"
"2016-04-29 18:30","잠실","KT",3,4,"LG","패","승","정규시즌"
"2016-04-29 18:30","대전","삼성",5,10,"한화","패","승","정규시즌"
