"경기날짜및시간","구장","원정팀","원정팀점수","홈팀점수","홈팀","비고"
"2011-06-05 17:00","잠실","삼성",8,3,"두산","정규시즌"
"2011-06-05 17:00","문학","KIA",2,1,"SK","정규시즌"
"2011-06-05 17:00","대전","넥센",2,4,"한화","정규시즌"
"2011-06-05 17:00","사직","LG",5,11,"롯데","정규시즌"
"2011-06-07 18:30","잠실","한화",0,4,"LG","정규시즌"
"2011-06-07 18:30","목동","SK",6,1,"넥센","정규시즌"
"2011-06-07 18:30","대구","롯데",1,9,"삼성","정규시즌"
"2011-06-07 18:30","무등","두산",2,5,"KIA","정규시즌"
"2011-06-08 18:30","잠실","한화",5,6,"LG","정규시즌"
"2011-06-08 18:30","목동","SK",4,1,"넥센","정규시즌"
"2011-06-08 18:30","대구","롯데",4,12,"삼성","정규시즌"
"2011-06-08 18:30","무등","두산",2,6,"KIA","정규시즌"
"2011-06-09 18:30","잠실","한화",4,1,"LG","정규시즌"
"2011-06-09 18:30","목동","SK",9,10,"넥센","정규시즌"
"2011-06-09 18:30","대구","롯데",13,7,"삼성","정규시즌"
"2011-06-09 18:30","무등","두산",2,3,"KIA","정규시즌"
"2011-06-10 18:30","잠실","SK",5,8,"두산","정규시즌"
"2011-06-10 18:30","목동","삼성",2,1,"넥센","정규시즌"
"2011-06-10 18:30","사직","한화",6,7,"롯데","정규시즌"
"2011-06-10 18:30","군산","LG",7,6,"KIA","정규시즌"
"2011-06-11 17:00","잠실","SK",7,1,"두산","정규시즌"
"2011-06-11 17:00","목동","삼성",6,3,"넥센","정규시즌"
"2011-06-11 17:00","사직","한화",9,3,"롯데","정규시즌"
"2011-06-11 17:00","군산","LG",14,8,"KIA","정규시즌"
"2011-06-12 17:00","잠실","SK",6,0,"두산","정규시즌"
"2011-06-12 17:00","목동","삼성",5,3,"넥센","정규시즌"
"2011-06-12 17:00","사직","한화",2,17,"롯데","정규시즌"
"2011-06-12 17:00","군산","LG",1,8,"KIA","정규시즌"
"2011-06-14 18:30","잠실","넥센",3,5,"두산","정규시즌"
"2011-06-14 18:30","문학","롯데",5,8,"SK","정규시즌"
"2011-06-14 18:30","대전","KIA",3,12,"한화","정규시즌"
"2011-06-14 18:30","대구","LG",3,7,"삼성","정규시즌"
"2011-06-15 18:30","잠실","넥센",4,13,"두산","정규시즌"
"2011-06-15 18:30","문학","롯데",1,4,"SK","정규시즌"
"2011-06-15 18:30","대전","KIA",6,5,"한화","정규시즌"
"2011-06-15 18:30","대구","LG",3,9,"삼성","정규시즌"
"2011-06-16 18:30","잠실","넥센",10,5,"두산","정규시즌"
"2011-06-16 18:30","문학","롯데",7,2,"SK","정규시즌"
"2011-06-16 18:30","대전","KIA",1,7,"한화","정규시즌"
"2011-06-16 18:30","대구","LG",4,6,"삼성","정규시즌"
"2011-06-17 18:30","잠실","SK",6,4,"LG","정규시즌"
"2011-06-17 18:30","목동","롯데",1,8,"넥센","정규시즌"
"2011-06-17 18:30","대전","두산",8,11,"한화","정규시즌"
"2011-06-17 18:30","무등","삼성",1,17,"KIA","정규시즌"
"2011-06-18 17:00","잠실","SK",5,8,"LG","정규시즌"
"2011-06-18 17:00","목동","롯데",3,7,"넥센","정규시즌"
