"날짜","시간","경기","구장","비고","경기날짜및시간","원정팀","원정팀_점수","홈팀_점수","홈팀","비고.1","비고.2","홈팀_결과","원정팀_결과"
"","18:30","넥센 7vs3 한화","대전","-","2016-04-07 18:30","넥센",7,3,"한화","","정규시즌","패","승"
"","18:30","LG 8vs4 KIA","광주","-","2016-04-07 18:30","LG",8,4,"KIA","","정규시즌","패","승"
"","18:30","SK 8vs3 롯데","사직","-","2016-04-07 18:30","SK",8,3,"롯데","","정규시즌","패","승"
"","18:30","삼성 3vs1 kt","수원","-","2016-04-07 18:30","삼성",3,1,"kt","","정규시즌","패","승"
"04.08(금)","18:30","넥센 4vs6 두산","잠실","-","2016-04-08 18:30","넥센",4,6,"두산","","정규시즌","승","패"
"","18:30","LG 2vs3 SK","문학","-","2016-04-08 18:30","LG",2,3,"SK","","정규시즌","승","패"
"","18:30","삼성 7vs3 롯데","사직","-","2016-04-08 18:30","삼성",7,3,"롯데","","정규시즌","패","승"
"","18:30","한화 4vs5 NC","마산","-","2016-04-08 18:30","한화",4,5,"NC","","정규시즌","승","패"
"","18:30","KIA 0vs4 kt","수원","-","2016-04-08 18:30","KIA",0,4,"kt","","정규시즌","승","패"
"04.09(토)","14:00","삼성 4vs7 롯데","사직","-","2016-04-09 14:00","삼성",4,7,"롯데","","정규시즌","승","패"
"","17:00","넥센 9vs9 두산","잠실","-","2016-04-09 17:00","넥센",9,9,"두산","","정규시즌","무","무"
"","17:00","LG 3vs4 SK","문학","-","2016-04-09 17:00","LG",3,4,"SK","","정규시즌","승","패"
"","17:00","한화 1vs10 NC","마산","-","2016-04-09 17:00","한화",1,10,"NC","","정규시즌","승","패"
"","17:00","KIA 6vs3 kt","수원","-","2016-04-09 17:00","KIA",6,3,"kt","","정규시즌","패","승"
"04.10(일)","14:00","넥센 5vs4 두산","잠실","-","2016-04-10 14:00","넥센",5,4,"두산","","정규시즌","패","승"
"","14:00","삼성 1vs5 롯데","사직","-","2016-04-10 14:00","삼성",1,5,"롯데","","정규시즌","승","패"
"","14:00","한화 2vs1 NC","마산","-","2016-04-10 14:00","한화",2,1,"NC","","정규시즌","패","승"
"","14:00","KIA 6vs9 kt","수원","-","2016-04-10 14:00","KIA",6,9,"kt","","정규시즌","승","패"
"","17:00","LG 6vs7 SK","문학","-","2016-04-10 17:00","LG",6,7,"SK","","정규시즌","승","패"
"04.12(화)","18:30","kt 2vs5 넥센","고척","-","2016-04-12 18:30","kt",2,5,"넥센","","정규시즌","승","패"
"","18:30","롯데 11vs12 LG","잠실","-","2016-04-12 18:30","롯데",11,12,"LG","","정규시즌","승","패"
"","18:30","KIA 7vs6 SK","문학","-","2016-04-12 18:30","KIA",7,6,"SK","","정규시즌","패","승"
"","18:30","두산 8vs2 한화","대전","-","2016-04-12 18:30","두산",8,2,"한화","","정규시즌","패","승"
"","18:30","NC 5vs16 삼성","대구","-","2016-04-12 18:30","NC",5,16,"삼성","","정규시즌","승","패"
"04.13(수)","18:30","kt 7vs6 넥센","고척","-","2016-04-13 18:30","kt",7,6,"넥센","","정규시즌","패","승"
"","18:30","롯데 3vs5 LG","잠실","-","2016-04-13 18:30","롯데",3,5,"LG","","정규시즌","승","패"
"","18:30","KIA 0vs2 SK","문학","-","2016-04-13 18:30","KIA",0,2,"SK","","정규시즌","승","패"
"","18:30","두산 7vs3 한화","대전","-","2016-04-13 18:30","두산",7,3,"한화","","정규시즌","패","승"
"","18:30","NC 7vs2 삼성","대구","-","2016-04-13 18:30","NC",7,2,"삼성","","정규시즌","패","승"
"04.14(목)","18:30","kt 5vs4 넥센","고척","-","2016-04-14 18:30","kt",5,4,"넥센","","정규시즌","패","승"
"","18:30","롯데 9vs0 LG","잠실","-","2016-04-14 18:30","롯데",9,0,"LG","","정규시즌","패","승"
"","18:30","KIA 6vs7 SK","문학","-","2016-04-14 18:30","KIA",6,7,"SK","","정규시즌","승","패"
"","18:30","두산 17vs2 한화","대전","-","2016-04-14 18:30","두산",17,2,"한화","","정규시즌","패","승"
"","18:30","NC 5vs7 삼성","대구","-","2016-04-14 18:30","NC",5,7,"삼성","","정규시즌","승","패"
"04.15(금)","18:30","삼성 2vs7 두산","잠실","-","2016-04-15 18:30","삼성",2,7,"두산","","정규시즌","승","패"
"","18:30","LG 18vs2 한화","대전","-","2016-04-15 18:30","LG",18,2,"한화","","정규시즌","패","승"
"","18:30","넥센 6vs11 KIA","광주","-","2016-04-15 18:30","넥센",6,11,"KIA","","정규시즌","승","패"
"","18:30","롯데 0vs3 NC","마산","-","2016-04-15 18:30","롯데",0,3,"NC","","정규시즌","승","패"
"","18:30","SK 7vs3 kt","수원","-","2016-04-15 18:30","SK",7,3,"kt","","정규시즌","패","승"
"04.16(토)","17:00","삼성 vs 두산","잠실","우천취소","2016-04-16 17:00","삼성",NA,NA,"두산","경기 없는 날","정규시즌",NA,NA
"","17:00","LG vs 한화","대전","우천취소","2016-04-16 17:00","LG",NA,NA,"한화","경기 없는 날","정규시즌",NA,NA
"","17:00","넥센 vs KIA","광주","우천취소","2016-04-16 17:00","넥센",NA,NA,"KIA","경기 없는 날","정규시즌",NA,NA
"","17:00","롯데 vs NC","마산","우천취소","2016-04-16 17:00","롯데",NA,NA,"NC","경기 없는 날","정규시즌",NA,NA
"","17:00","SK vs kt","수원","우천취소","2016-04-16 17:00","SK",NA,NA,"kt","경기 없는 날","정규시즌",NA,NA
"04.17(일)","14:00","삼성 2vs6 두산","잠실","-","2016-04-17 14:00","삼성",2,6,"두산","","정규시즌","승","패"
"","14:00","넥센 2vs1 KIA","광주","-","2016-04-17 14:00","넥센",2,1,"KIA","","정규시즌","패","승"
"","14:00","롯데 8vs5 NC","마산","-","2016-04-17 14:00","롯데",8,5,"NC","","정규시즌","패","승"
"","14:00","SK 10vs6 kt","수원","-","2016-04-17 14:00","SK",10,6,"kt","","정규시즌","패","승"
"","17:00","LG 6vs4 한화","대전","-","2016-04-17 17:00","LG",6,4,"한화","","정규시즌","패","승"
"04.19(화)","18:30","NC 8vs1 LG","잠실","-","2016-04-19 18:30","NC",8,1,"LG","","정규시즌","패","승"
"","18:30","넥센 3vs1 SK","문학","-","2016-04-19 18:30","넥센",3,1,"SK","","정규시즌","패","승"
"","18:30","삼성 2vs7 KIA","광주","-","2016-04-19 18:30","삼성",2,7,"KIA","","정규시즌","승","패"
"","18:30","한화 3vs4 롯데","사직","-","2016-04-19 18:30","한화",3,4,"롯데","","정규시즌","승","패"
"","18:30","두산 3vs2 kt","수원","-","2016-04-19 18:30","두산",3,2,"kt","","정규시즌","패","승"
"04.20(수)","18:30","NC 3vs6 LG","잠실","-","2016-04-20 18:30","NC",3,6,"LG","","정규시즌","승","패"
"","18:30","넥센 1vs9 SK","문학","-","2016-04-20 18:30","넥센",1,9,"SK","","정규시즌","승","패"
"","18:30","삼성 2vs1 KIA","광주","-","2016-04-20 18:30","삼성",2,1,"KIA","","정규시즌","패","승"
"","18:30","한화 4vs10 롯데","사직","-","2016-04-20 18:30","한화",4,10,"롯데","","정규시즌","승","패"
"","18:30","두산 13vs4 kt","수원","-","2016-04-20 18:30","두산",13,4,"kt","","정규시즌","패","승"
"04.21(목)","18:30","NC 8vs5 LG","잠실","-","2016-04-21 18:30","NC",8,5,"LG","","정규시즌","패","승"
"","18:30","넥센 2vs3 SK","문학","-","2016-04-21 18:30","넥센",2,3,"SK","","정규시즌","승","패"
"","18:30","삼성 8vs1 KIA","광주","-","2016-04-21 18:30","삼성",8,1,"KIA","","정규시즌","패","승"
"","18:30","한화 9vs5 롯데","사직","-","2016-04-21 18:30","한화",9,5,"롯데","","정규시즌","패","승"
"","18:30","두산 3vs8 kt","수원","-","2016-04-21 18:30","두산",3,8,"kt","","정규시즌","승","패"
"04.22(금)","18:30","LG 2vs10 넥센","고척","-","2016-04-22 18:30","LG",2,10,"넥센","","정규시즌","승","패"
"","18:30","한화 2vs8 두산","잠실","-","2016-04-22 18:30","한화",2,8,"두산","","정규시즌","승","패"
"","18:30","NC 6vs5 SK","문학","-","2016-04-22 18:30","NC",6,5,"SK","","정규시즌","패","승"
