"경기날짜및시간","구장","원정팀","원정팀_점수","홈팀_점수","홈팀","비고"
"2018-05-13 14:00","문학","LG",0,4,"한화","정규시즌"
"2018-05-13 14:00","대전","NC",0,7,"삼성","정규시즌"
"2018-05-13 14:00","대구","기아",8,3,"롯데","정규시즌"
"2018-05-13 14:00","사직","KT",1,10,"SK","정규시즌"
"2018-05-15 18:30","고척","기아",2,1,"넥센","정규시즌"
"2018-05-15 18:30","잠실","SK",4,6,"두산","정규시즌"
"2018-05-15 18:30","대전","KT",3,0,"한화","정규시즌"
"2018-05-15 18:30","마산","롯데",5,3,"NC","정규시즌"
"2018-05-15 18:30","포항","LG",2,4,"삼성","정규시즌"
"2018-05-16 18:30","고척","기아",7,8,"넥센","정규시즌"
"2018-05-16 18:30","잠실","SK",3,5,"두산","정규시즌"
"2018-05-16 18:30","대전","KT",4,5,"한화","정규시즌"
"2018-05-16 18:30","포항","LG",8,7,"삼성","정규시즌"
"2018-05-17 18:30","고척","기아",2,8,"넥센","정규시즌"
"2018-05-17 18:30","대전","KT",3,5,"한화","정규시즌"
"2018-05-17 18:30","마산","롯데",7,0,"NC","정규시즌"
"2018-05-17 18:30","포항","LG",8,5,"삼성","정규시즌"
"2018-05-18 18:30","고척","삼성",5,0,"넥센","정규시즌"
"2018-05-18 18:30","잠실","한화",4,3,"LG","정규시즌"
"2018-05-18 18:30","광주","SK",1,5,"기아","정규시즌"
"2018-05-18 18:30","사직","두산",7,1,"롯데","정규시즌"
"2018-05-18 18:30","수원","NC",6,1,"KT","정규시즌"
"2018-05-19 17:00","고척","삼성",3,6,"넥센","정규시즌"
"2018-05-19 17:00","잠실","한화",2,1,"LG","정규시즌"
"2018-05-19 17:00","광주","SK",1,2,"기아","정규시즌"
"2018-05-19 17:00","사직","두산",2,3,"KT","정규시즌"
"2018-05-19 17:00","수원","NC",2,15,"롯데","정규시즌"
"2018-05-20 14:00","고척","삼성",4,3,"넥센","정규시즌"
"2018-05-20 14:00","잠실","한화",2,6,"LG","정규시즌"
"2018-05-20 14:00","광주","SK",3,8,"기아","정규시즌"
"2018-05-20 14:00","사직","두산",7,6,"롯데","정규시즌"
"2018-05-20 14:00","수원","NC",3,18,"KT","정규시즌"
"2018-05-22 14:00","잠실","NC",1,6,"LG","정규시즌"
"2018-05-22 14:00","문학","두산",7,4,"SK","정규시즌"
"2018-05-22 14:00","대전","롯데",4,8,"한화","정규시즌"
"2018-05-22 14:00","대구","KT",5,8,"기아","정규시즌"
"2018-05-22 14:00","광주","넥센",10,10,"삼성","정규시즌"
"2018-05-23 18:30","잠실","NC",2,5,"한화","정규시즌"
"2018-05-23 18:30","문학","넥센",2,6,"삼성","정규시즌"
"2018-05-23 18:30","대전","두산",3,8,"기아","정규시즌"
"2018-05-23 18:30","대구","롯데",4,12,"LG","정규시즌"
"2018-05-23 18:30","광주","KT",9,13,"SK","정규시즌"
"2018-05-24 18:30","잠실","NC",0,4,"LG","정규시즌"
"2018-05-24 18:30","문학","넥센",1,3,"SK","정규시즌"
"2018-05-24 18:30","대전","두산",7,1,"한화","정규시즌"
"2018-05-24 18:30","대구","롯데",2,9,"삼성","정규시즌"
"2018-05-24 18:30","광주","KT",13,1,"기아","정규시즌"
"2018-05-25 18:30","고척","롯데",2,1,"두산","정규시즌"
"2018-05-25 18:30","잠실","삼성",6,5,"SK","정규시즌"
"2018-05-25 18:30","문학","한화",1,2,"NC","정규시즌"
"2018-05-25 18:30","마산","LG",7,13,"넥센","정규시즌"
"2018-05-25 18:30","수원","기아",14,13,"KT","정규시즌"
"2018-05-26 17:00","고척","롯데",2,3,"넥센","정규시즌"
"2018-05-26 17:00","잠실","삼성",1,6,"두산","정규시즌"
"2018-05-26 17:00","문학","한화",2,7,"SK","정규시즌"
"2018-05-26 17:00","마산","기아",0,5,"NC","정규시즌"
"2018-05-26 17:00","수원","LG",5,0,"KT","정규시즌"
"2018-05-27 14:00","고척","롯데",6,4,"넥센","정규시즌"
"2018-05-27 14:00","잠실","삼성",2,8,"두산","정규시즌"
"2018-05-27 14:00","문학","한화",7,5,"SK","정규시즌"
"2018-05-27 14:00","마산","LG",7,1,"NC","정규시즌"
"2018-05-27 14:00","수원","기아",12,8,"KT","정규시즌"
"2018-05-29 18:30","대전","NC",2,7,"한화","정규시즌"
"2018-05-29 18:30","대구","LG",5,4,"삼성","정규시즌"
"2018-05-29 18:30","광주","KT",14,8,"기아","정규시즌"
"2018-05-29 18:30","사직","넥센",12,3,"롯데","정규시즌"
"2018-05-30 18:30","잠실","SK",3,4,"삼성","정규시즌"
"2018-05-30 18:30","대전","NC",4,1,"기아","정규시즌"
"2018-05-30 18:30","대구","KT",3,5,"롯데","정규시즌"
"2018-05-30 18:30","광주","넥센",6,11,"두산","정규시즌"
"2018-05-30 18:30","사직","LG",15,10,"한화","정규시즌"
"2018-05-31 18:30","잠실","SK",4,6,"두산","정규시즌"
"2018-05-31 18:30","대전","NC",5,4,"한화","정규시즌"
"2018-05-31 18:30","대구","KT",0,6,"삼성","정규시즌"
"2018-05-31 18:30","광주","넥센",0,5,"기아","정규시즌"
"2018-05-31 18:30","사직","LG",11,10,"롯데","정규시즌"
"2018-06-01 18:30","잠실","넥센",1,3,"LG","정규시즌"
"2018-06-01 18:30","문학","KT",1,8,"SK","정규시즌"
"2018-06-01 18:30","광주","두산",5,3,"기아","정규시즌"
"2018-06-01 18:30","사직","삼성",5,6,"롯데","정규시즌"
"2018-06-01 18:30","마산","한화",13,3,"NC","정규시즌"
"2018-06-02 17:00","잠실","넥센",6,6,"SK","정규시즌"
"2018-06-02 17:00","문학","KT",1,0,"기아","정규시즌"
"2018-06-02 17:00","광주","한화",3,2,"롯데","정규시즌"
"2018-06-02 17:00","사직","삼성",6,4,"NC","정규시즌"
"2018-06-02 17:00","마산","두산",10,10,"LG","정규시즌"
"2018-06-03 17:00","잠실","넥센",0,8,"LG","정규시즌"
"2018-06-03 17:00","문학","KT",6,3,"SK","정규시즌"
"2018-06-03 17:00","광주","한화",0,6,"롯데","정규시즌"
"2018-06-03 17:00","사직","삼성",8,7,"NC","정규시즌"
"2018-06-03 17:00","마산","두산",11,12,"기아","정규시즌"
"2018-06-05 18:30","고척","두산",6,7,"LG","정규시즌"
"2018-06-05 18:30","잠실","한화",3,6,"SK","정규시즌"
"2018-06-05 18:30","문학","삼성",2,6,"NC","정규시즌"
"2018-06-05 18:30","마산","롯데",12,2,"KT","정규시즌"
"2018-06-05 18:30","수원","기아",11,13,"넥센","정규시즌"
