"경기날짜및시간","구장","원정팀","원정팀_점수","홈팀_점수","홈팀","비고"
"2017-06-15 18:30","사직","kt",2,5,"롯데","정규시즌"
"2017-06-15 18:30","포항","LG",12,6,"삼성","정규시즌"
"2017-06-16 18:30","고척","롯데",1,2,"넥센","정규시즌"
"2017-06-16 18:30","잠실","SK",2,5,"두산","정규시즌"
"2017-06-16 18:30","대구","LG",9,1,"삼성","정규시즌"
"2017-06-16 18:30","광주","NC",11,8,"기아","정규시즌"
"2017-06-16 18:30","수원","한화",15,14,"kt","정규시즌"
"2017-06-17 17:00","고척","롯데",2,8,"넥센","정규시즌"
"2017-06-17 17:00","잠실","NC",4,4,"기아","정규시즌"
"2017-06-17 17:00","대구","LG",3,1,"kt","정규시즌"
"2017-06-17 17:00","광주","한화",9,14,"두산","정규시즌"
"2017-06-17 17:00","수원","SK",14,10,"삼성","정규시즌"
"2017-06-18 17:00","고척","롯데",3,7,"삼성","정규시즌"
"2017-06-18 17:00","잠실","SK",5,8,"기아","정규시즌"
"2017-06-18 17:00","대구","NC",11,5,"kt","정규시즌"
"2017-06-18 17:00","광주","LG",16,14,"넥센","정규시즌"
"2017-06-18 17:00","수원","한화",13,13,"두산","정규시즌"
"2017-06-20 18:30","잠실","삼성",3,5,"LG","정규시즌"
"2017-06-20 18:30","문학","NC",1,7,"SK","정규시즌"
"2017-06-20 18:30","대전","넥센",5,6,"한화","정규시즌"
"2017-06-20 18:30","수원","롯데",10,2,"kt","정규시즌"
"2017-06-21 18:30","잠실","NC",2,3,"LG","정규시즌"
"2017-06-21 18:30","문학","넥센",6,1,"SK","정규시즌"
"2017-06-21 18:30","대전","두산",8,5,"한화","정규시즌"
"2017-06-21 18:30","광주","삼성",10,4,"kt","정규시즌"
"2017-06-21 18:30","수원","롯데",10,20,"기아","정규시즌"
"2017-06-22 18:30","잠실","삼성",5,1,"LG","정규시즌"
"2017-06-22 18:30","문학","NC",6,13,"SK","정규시즌"
"2017-06-22 18:30","대전","두산",5,13,"한화","정규시즌"
"2017-06-22 18:30","광주","롯데",3,11,"기아","정규시즌"
"2017-06-22 18:30","수원","넥센",12,10,"kt","정규시즌"
"2017-06-23 18:30","고척","LG",3,8,"넥센","정규시즌"
"2017-06-23 18:30","잠실","롯데",1,9,"두산","정규시즌"
"2017-06-23 18:30","문학","kt",2,4,"SK","정규시즌"
"2017-06-23 18:30","대구","한화",3,5,"삼성","정규시즌"
"2017-06-23 18:30","마산","기아",1,4,"NC","정규시즌"
"2017-06-24 17:00","고척","LG",8,2,"넥센","정규시즌"
"2017-06-24 17:00","잠실","롯데",8,4,"두산","정규시즌"
"2017-06-24 17:00","문학","kt",1,2,"SK","정규시즌"
