날짜,시간,경기,구장,비고,경기날짜및시간,원정팀,원정팀_점수,홈팀_점수,홈팀,비고.1,비고.2,홈팀_결과,원정팀_결과
,17:00,넥센 vs 한화,대전,우천취소,2013-04-06 17:00,넥센,NA,NA,한화,경기 없는 날,정규시즌,NA,NA
,17:00,NC vs 삼성,대구,우천취소,2013-04-06 17:00,NC,NA,NA,삼성,경기 없는 날,정규시즌,NA,NA
,17:00,KIA vs 롯데,사직,우천취소,2013-04-06 17:00,KIA,NA,NA,롯데,경기 없는 날,정규시즌,NA,NA
04.07(일),14:00,두산 5vs4 LG,잠실,-,2013-04-07 14:00,두산,5,4,LG,,정규시즌,패,승
,14:00,넥센 5vs3 한화,대전,-,2013-04-07 14:00,넥센,5,3,한화,,정규시즌,패,승
,14:00,NC 2vs4 삼성,대구,-,2013-04-07 14:00,NC,2,4,삼성,,정규시즌,승,패
,14:00,KIA 3vs1 롯데,사직,-,2013-04-07 14:00,KIA,3,1,롯데,,정규시즌,패,승
04.09(화),18:30,NC 5vs9 LG,잠실,-,2013-04-09 18:30,NC,5,9,LG,,정규시즌,승,패
,18:30,넥센 0vs2 SK,문학,-,2013-04-09 18:30,넥센,0,2,SK,,정규시즌,승,패
,18:30,한화 2vs8 삼성,대구,-,2013-04-09 18:30,한화,2,8,삼성,,정규시즌,승,패
,18:30,두산 11vs4 KIA,무등,-,2013-04-09 18:30,두산,11,4,KIA,,정규시즌,패,승
04.10(수),18:30,NC 5vs7 LG,잠실,-,2013-04-10 18:30,NC,5,7,LG,,정규시즌,승,패
,18:30,넥센 0vs9 SK,문학,-,2013-04-10 18:30,넥센,0,9,SK,,정규시즌,승,패
,18:30,한화 0vs4 삼성,대구,-,2013-04-10 18:30,한화,0,4,삼성,,정규시즌,승,패
,18:30,두산 3vs4 KIA,무등,-,2013-04-10 18:30,두산,3,4,KIA,,정규시즌,승,패
04.11(목),18:30,NC 4vs1 LG,잠실,-,2013-04-11 18:30,NC,4,1,LG,,정규시즌,패,승
,18:30,넥센 4vs3 SK,문학,-,2013-04-11 18:30,넥센,4,3,SK,,정규시즌,패,승
,18:30,한화 3vs9 삼성,대구,-,2013-04-11 18:30,한화,3,9,삼성,,정규시즌,승,패
,18:30,두산 9vs0 KIA,무등,-,2013-04-11 18:30,두산,9,0,KIA,,정규시즌,패,승
04.12(금),18:30,롯데 3vs3 두산,잠실,-,2013-04-12 18:30,롯데,3,3,두산,,정규시즌,무,무
,18:30,삼성 0vs3 넥센,목동,-,2013-04-12 18:30,삼성,0,3,넥센,,정규시즌,승,패
,18:30,LG 6vs1 한화,대전,-,2013-04-12 18:30,LG,6,1,한화,,정규시즌,패,승
,18:30,SK 5vs3 NC,마산,-,2013-04-12 18:30,SK,5,3,NC,,정규시즌,패,승
04.13(토),17:00,롯데 2vs7 두산,잠실,-,2013-04-13 17:00,롯데,2,7,두산,,정규시즌,승,패
,17:00,삼성 15vs4 넥센,목동,-,2013-04-13 17:00,삼성,15,4,넥센,,정규시즌,패,승
,17:00,LG 5vs1 한화,대전,-,2013-04-13 17:00,LG,5,1,한화,,정규시즌,패,승
,17:00,SK 1vs4 NC,마산,-,2013-04-13 17:00,SK,1,4,NC,,정규시즌,승,패
04.14(일),14:00,롯데 6vs7 두산,잠실,-,2013-04-14 14:00,롯데,6,7,두산,,정규시즌,승,패
,14:00,삼성 15vs4 넥센,목동,-,2013-04-14 14:00,삼성,15,4,넥센,,정규시즌,패,승
,14:00,LG 8vs0 한화,대전,-,2013-04-14 14:00,LG,8,0,한화,,정규시즌,패,승
,14:00,SK 3vs4 NC,마산,-,2013-04-14 14:00,SK,3,4,NC,,정규시즌,승,패
04.16(화),18:30,NC 4vs6 한화,대전,-,2013-04-16 18:30,NC,4,6,한화,,정규시즌,승,패
,18:30,넥센 7vs4 롯데,사직,-,2013-04-16 18:30,넥센,7,4,롯데,,정규시즌,패,승
,18:30,LG 2vs5 KIA,무등,-,2013-04-16 18:30,LG,2,5,KIA,,정규시즌,승,패
,18:30,SK 8vs3 삼성,포항,-,2013-04-16 18:30,SK,8,3,삼성,,정규시즌,패,승
04.17(수),18:30,NC 3vs4 한화,대전,-,2013-04-17 18:30,NC,3,4,한화,,정규시즌,승,패
,18:30,넥센 4vs2 롯데,사직,-,2013-04-17 18:30,넥센,4,2,롯데,,정규시즌,패,승
,18:30,LG 4vs9 KIA,무등,-,2013-04-17 18:30,LG,4,9,KIA,,정규시즌,승,패
,18:30,SK 5vs11 삼성,포항,-,2013-04-17 18:30,SK,5,11,삼성,,정규시즌,승,패
04.18(목),18:15,SK 6vs1 삼성,포항,-,2013-04-18 18:15,SK,6,1,삼성,,정규시즌,패,승
,18:30,NC 5vs8 한화,대전,-,2013-04-18 18:30,NC,5,8,한화,,정규시즌,승,패
,18:30,넥센 14vs4 롯데,사직,-,2013-04-18 18:30,넥센,14,4,롯데,,정규시즌,패,승
,18:30,LG 13vs12 KIA,무등,-,2013-04-18 18:30,LG,13,12,KIA,,정규시즌,패,승
04.19(금),18:30,한화 1vs15 두산,잠실,-,2013-04-19 18:30,한화,1,15,두산,,정규시즌,승,패
,18:30,NC 0vs1 넥센,목동,-,2013-04-19 18:30,NC,0,1,넥센,,정규시즌,승,패
,18:30,KIA 4vs3 SK,문학,-,2013-04-19 18:30,KIA,4,3,SK,,정규시즌,패,승
,18:30,롯데 4vs3 삼성,대구,-,2013-04-19 18:30,롯데,4,3,삼성,,정규시즌,패,승
04.20(토),17:00,한화 vs 두산,잠실,우천취소,2013-04-20 17:00,한화,NA,NA,두산,경기 없는 날,정규시즌,NA,NA
,17:00,NC vs 넥센,목동,우천취소,2013-04-20 17:00,NC,NA,NA,넥센,경기 없는 날,정규시즌,NA,NA
,17:00,KIA vs SK,문학,우천취소,2013-04-20 17:00,KIA,NA,NA,SK,경기 없는 날,정규시즌,NA,NA
,17:00,롯데 vs 삼성,대구,우천취소,2013-04-20 17:00,롯데,NA,NA,삼성,경기 없는 날,정규시즌,NA,NA
04.21(일),14:00,한화 1vs0 두산,잠실,-,2013-04-21 14:00,한화,1,0,두산,,정규시즌,패,승
,14:00,NC 2vs11 넥센,목동,-,2013-04-21 14:00,NC,2,11,넥센,,정규시즌,승,패
,14:00,KIA 9vs0 SK,문학,-,2013-04-21 14:00,KIA,9,0,SK,,정규시즌,패,승
,14:00,롯데 8vs9 삼성,대구,-,2013-04-21 14:00,롯데,8,9,삼성,,정규시즌,승,패
04.23(화),18:30,삼성 vs LG,잠실,우천취소,2013-04-23 18:30,삼성,NA,NA,LG,경기 없는 날,정규시즌,NA,NA
,18:30,두산 vs 넥센,목동,우천취소,2013-04-23 18:30,두산,NA,NA,넥센,경기 없는 날,정규시즌,NA,NA
,18:30,SK vs 롯데,사직,우천취소,2013-04-23 18:30,SK,NA,NA,롯데,경기 없는 날,정규시즌,NA,NA
,18:30,KIA vs NC,마산,우천취소,2013-04-23 18:30,KIA,NA,NA,NC,경기 없는 날,정규시즌,NA,NA
04.24(수),18:30,삼성 3vs2 LG,잠실,-,2013-04-24 18:30,삼성,3,2,LG,,정규시즌,패,승
,18:30,두산 1vs9 넥센,목동,-,2013-04-24 18:30,두산,1,9,넥센,,정규시즌,승,패
,18:30,SK 7vs8 롯데,사직,-,2013-04-24 18:30,SK,7,8,롯데,,정규시즌,승,패
,18:30,KIA 5vs5 NC,마산,-,2013-04-24 18:30,KIA,5,5,NC,,정규시즌,무,무
